Publisher,Game Count,Percentage
marnamai,1,0.12%
Facepunch Studios,2,0.24%
Headup,4,0.49%
Second Face Software,1,0.12%
ComonGames,1,0.12%
Assemble Entertainment,1,0.12%
Hellbent Games,1,0.12%
Indiesquare,1,0.12%
SUPERHOT Team,2,0.24%
Beat Games,1,0.12%
The Irregular Corporation,1,0.12%
Joey Drew Studios,4,0.49%
ZA/UM,1,0.12%
Focus Entertainment,5,0.61%
PLAYISM,1,0.12%
Alpha Blend Interactive,1,0.12%
ThankGame.com,1,0.12%
Zombie Panic! Team,1,0.12%
Smartly Dressed Games,1,0.12%
1047 Games,1,0.12%
"INTI CREATES CO., LTD.",1,0.12%
Devolver Digital,1,0.12%
Ninja Theory,2,0.24%
PID Games,3,0.37%
Team Salvato,1,0.12%
Bennett Foddy,1,0.12%
Northwood Studios,1,0.12%
Citor3,1,0.12%
PlayWay S.A.,6,0.73%
Ripknot Systems,1,0.12%
Nacon,3,0.37%
Wired Productions,1,0.12%
Breadman,2,0.24%
Royal Rudius Entertainment,1,0.12%
Alientrap,1,0.12%
Malzbie Games,1,0.12%
Solirax,1,0.12%
ION LANDS,1,0.12%
Angry Demon Studio,2,0.24%
ScottGames,1,0.12%
Sharkmob AB,1,0.12%
"CAPCOM CO., LTD",1,0.12%
Doborog Games,1,0.12%
FishSoft LLC,1,0.12%
Gizmoplay Ltd,1,0.12%
"WipleGames Inc.,",1,0.12%
Illusion Ray,1,0.12%
 Game for people,1,0.12%
Angela He,1,0.12%
ILLUSION,1,0.12%
VRFavs d.o.o.,1,0.12%
Wholetone Games,1,0.12%
Ragged Games,1,0.12%
505 Games,2,0.24%
Scott Cawthon,1,0.12%
ININ,1,0.12%
Nolla Games,1,0.12%
Laina Interactive,1,0.12%
Gaijin Network Ltd,1,0.12%
The Stars Group Inc.,1,0.12%
"State Space Labs, Inc.",1,0.12%
FJRD Interactive,1,0.12%
HandyGames,1,0.12%
SBSoftLab,1,0.12%
McKay,1,0.12%
IObit,1,0.12%
META Publishing,1,0.12%
Curve Games,1,0.12%
Winged Cloud,3,0.37%
BANDAI NAMCO Entertainment Europe,5,0.61%
Ninja Kiwi,2,0.24%
Humble Games,1,0.12%
SinVR,2,0.24%
Microsoft Corporation,1,0.12%
Vetron,1,0.12%
IndieGala,1,0.12%
WB Games,4,0.49%
Vovoid Media Technologies AB,1,0.12%
UL Solutions,1,0.12%
Mediator Software,1,0.12%
THS,1,0.12%
OVRAS Team,1,0.12%
Shiro Games,1,0.12%
My Way Games,1,0.12%
Dr PinkCake,2,0.24%
Pillow Castle,1,0.12%
Totem Entertainment,1,0.12%
Kepler Interactive,1,0.12%
Daedalic Entertainment,1,0.12%
Abama Entertainment,1,0.12%
Akupara Games,1,0.12%
Bloober Team NA,1,0.12%
Free Reign Entertainment,1,0.12%
Techland Publishing,1,0.12%
Whitethorn Games,2,0.24%
Agafonoff,1,0.12%
VOID Interactive,1,0.12%
tinyBuild,5,0.61%
RocketWerkz,1,0.12%
DRAGO entertainment,1,0.12%
Bungie,1,0.12%
Xiexe,1,0.12%
MOBITECH LLC,1,0.12%
Topgolf Media,1,0.12%
Nexon America Inc.,1,0.12%
Union Onion,1,0.12%
Please Be Patient,1,0.12%
Wonder Games,1,0.12%
Bohemia Interactive,1,0.12%
Raw Fury,1,0.12%
RewindApp,1,0.12%
Twerk Games®,1,0.12%
Matt Newell,2,0.24%
EMIKA_GAMES,1,0.12%
Milestone S.r.l.,1,0.12%
OppaiMan 2D ,1,0.12%
Betagames Group,1,0.12%
Duality Games,1,0.12%
Bloober Team SA,1,0.12%
